15.2064, 0, 0, 0, -0.325515, 0, 0, -0.0720231, -0.020026, 0, -0.0720231, -0.020026, 0, -0.0720231, -0.020026, 0, -0.0720231, -0.020026, 0, 15.2064, 0, 0.325515, 0, 5.0564e-310, 8.89318e-323, 2.07508e-322, 0, 6.95318e-310, 8.89318e-323, 2.07508e-322, 0.0720943, 0, 0, 0.0720943, 0, 0, 0, 0, 15.2064, 0, 0.0329845, 0
0.108541, 0.0447752, -0.0276805, -0.108541, 0.0447752, -0.0276805, 0.108541, 0.0447752, -0.0276805, -0.108541, 0.0447752, -0.0276805, 0, 0.325515, 0, 0.177258, 0.00012166, -0.0171807, 0.0286189, 0.00631016, -0.00392287, 0.0286189, -0.00631016, 0.00392287, 0.0286189, 0.00631016, -0.00392287, 0.0286189, -0.00631016, 0.00392287, -0.325515, 0, 0.0329845, 0.00012166, 0.490776, -3.12005e-05, -0.0167596, 0.0117307, 0.00971276, 0.0167596, 0.0117307, 0.00971276
0.0252158, 0.0290498, -0.000994056, -0.0252158, 0.0290498, -0.000994056, 0, -0.0329845, 0, -0.0171807, -3.12005e-05, 0.535444, 0.00908138, 0.0101898, 0.00283902, 0.00908138, -0.0101898, -0.00283902, -0.0188061, 0.0101898, 0.00283902, -0.0188061, -0.0101898, -0.00283902, 0, 0.0720943, 0.108541, 0.0286189, -0.0167596, 0.00908138, 0.0335717, 0.00422811, -0.00263573, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.0720231, 0, 0.0447752, 0.00631016, 0.0117307, 0.0101898, 0.00422811, 0.0303902, 0.00435935, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.020026, 0, -0.0276805, -0.00392287, 0.00971276, 0.00283902, -0.00263573, 0.00435935, 0.0163263, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0720943, -0.108541, 0.0286189, 0.0167596, 0.00908138
0, 0, 0, 0.0335717, -0.00422811, 0.00263573, 0, 0, 0, 0, 0, 0, -0.0720231, 0, 0.0447752, -0.00631016, 0.0117307, -0.0101898, 0, 0, 0, -0.00422811, 0.0303902, 0.00435935, 0, 0, 0, 0, 0, 0, -0.020026, 0, -0.0276805, 0.00392287, 0.00971276, -0.00283902, 0, 0, 0, 0.00263573, 0.00435935, 0.0163263
0, 0, 0, 0, 0, 0, 0, 0.0720943, 0.108541, 0.0286189, 0.0252158, -0.0188061, 0, 0, 0, 0, 0, 0, 0.0335717, 0.00422811, -0.00263573, 0, 0, 0, -0.0720231, 0, 0.0447752, 0.00631016, 0.0290498, 0.0101898, 0, 0, 0, 0, 0, 0, 0.00422811, 0.0303902, 0.00435935, 0, 0, 0
-0.020026, 0, -0.0276805, -0.00392287, -0.000994056, 0.00283902, 0, 0, 0, 0, 0, 0, -0.00263573, 0.00435935, 0.0163263, 0, 0, 0, 0, 0.0720943, -0.108541, 0.0286189, -0.0252158, -0.0188061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0335717, -0.00422811, 0.00263573, -0.0720231, 0, 0.0447752, -0.00631016, 0.0290498, -0.0101898
0, 0, 0, 0, 0, 0, 0, 0, 0, -0.00422811, 0.0303902, 0.00435935, -0.020026, 0, -0.0276805, 0.00392287, -0.000994056, -0.00283902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00263573, 0.00435935, 0.0163263, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0
0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0
0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0
0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, 0, -1, 0, -0.266373, -0.142, 0, -0.266373, 0.142, 0, -0.266373, -0.142, 0, -0.266373, 0.142, 0.266373, 0, 0.192157, 0.266373, 0, 0.192157
0.266373, 0, -0.194643, 0.266373, 0, -0.194643, 0.142, -0.192157, 0, -0.142, -0.192157, 0, 0.142, 0.194643, 0, -0.142, 0.194643, 0, 0, -0.266373, -0.0955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266373, 0, -0.00124322, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.13397, 0, 0.165605, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.266373, 0.0955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266373, 0, -0.00124322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13397, 0, 0.165605
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.266373, -0.0955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266373, 0, -0.00124322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13397, 0, 0.165605, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.266373, 0.0955, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.266373, 0, -0.00124322, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13397, 0, 0.165605, -1, -1, 0, 0, 0.194643, 0
0, 0, 0, 0, 0, 0, 0, -0.020026, 0, -0.0276805, -0.00392287, -0.000994056, 0.00283902, 0, 0, 0, 0, 0, 0, -0.00263573, 0.00435935, 0.0163263, 0, 0, 0, -1, 0, -1, 0.192157, 0, -0.00124322, 0, 0, 0, 0, 0.165605, 0, 0, 0, 0.0720943, -0.108541, 0.0286189
-0.0252158, -0.0188061, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0335717, -0.00422811, 0.00263573, -1, 0, 0, 0.266373, -0.142, 0, 0, 0.266373, 0, 0, 0, 0, 0.13397, -0.0720231, 0, 0.0447752, -0.00631016, 0.0290498, -0.0101898, 0, 0, 0, 0, 0, 0, 0, 0, 0
-0.00422811, 0.0303902, 0.00435935, -1, -1, 0, 0, 0.194643, 0, 0, 0, 0, 0, 0, 0, 0, -0.020026, 0, -0.0276805, 0.00392287, -0.000994056, -0.00283902, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00263573, 0.00435935, 0.0163263, -1, 0, -1, 0.192157, 0, 0, 0, -0.00124322